ID,Produto,Categoria,Preço,Quantidade,Data,Vendas
08e75104-5042-4c88-955b-d09e728bb46c,Notebook Dell,Laptops,5000,20,2023-11-17 19:58:00,100000
bf02507c-42f4-455c-8c26-c04d4981255e,Smart TV LG 4K 55'',Eletrônicos,3000,13,2023-09-02 18:26:00,39000
6dba235a-01ea-414b-a01b-57708aa5982c,iPhone 14 Pro,Smartphones,8000,5,2023-01-31 12:55:00,40000
558a894c-661b-4be0-a2aa-69a76af1fa98,Notebook Dell,Laptops,5000,14,2023-02-24 08:53:00,70000
fea85526-c393-4a26-bec7-cc014cf7b79d,MacBook Air,Laptops,12000,10,2023-08-22 16:43:00,120000
38b592c8-5aaa-4663-9edf-d930ca0080c5,Câmera Canon,Fotografia,9000,17,2023-09-13 19:27:00,153000
ad2711a8-e4f2-453a-8191-61eacffe3508,Mouse Razer,Acessórios,500,12,2023-09-17 09:21:00,6000
3b2a47e8-2837-4822-be56-50f459149518,Fone de Ouvido JBL,Áudio,400,10,2023-11-10 16:07:00,4000
ad96ce6e-6e4c-41ee-a3fd-4ae74a0384a8,Fone de Ouvido JBL,Áudio,400,3,2023-07-22 08:03:00,1200
eb514d64-6936-48c0-b0d5-9592248d3ae8,Smart TV LG 4K 55'',Eletrônicos,3000,4,2023-03-20 14:41:00,12000
e9a172ea-2024-4f5e-a69a-3b8d16d2a7e4,Mouse Razer,Acessórios,500,11,2023-10-11 10:05:00,5500
33ac7242-d7dd-444c-965e-61fdd4877a05,Mouse Razer,Acessórios,500,9,2023-10-03 13:05:00,4500
72c3de89-9865-4f88-96fa-757a7cb5bd8e,Smart TV LG 4K 55'',Eletrônicos,3000,13,2023-09-09 15:17:00,39000
c78bcaeb-7916-4300-974b-6b49eb3adaf1,Câmera Sony,Fotografia,7000,8,2023-03-24 14:14:00,56000
8f965ae1-28fd-4435-9252-d252aa41208d,Mouse Razer,Acessórios,500,1,2023-07-08 08:36:00,500
75787b0c-cb1e-463f-a982-b8e0243f4480,Samsung Galaxy S23,Smartphones,4000,13,2023-09-25 17:03:00,52000
0244c4a1-fbc5-4b89-990a-b043b6a9a565,Samsung Galaxy S23,Smartphones,4000,3,2023-06-20 08:58:00,12000
5806dc69-129b-4492-939a-94f13cd236bb,Caixa de Som JBL,Áudio,2000,1,2023-01-12 16:06:00,2000
a6c79df8-4ef9-48d4-9400-1330fb8d4452,Caixa de Som JBL,Áudio,2000,5,2023-06-19 15:05:00,10000
aefc287a-85e7-4650-b900-92ebb5f63ab3,Câmera Canon,Fotografia,9000,20,2023-11-07 15:21:00,180000
5872efcb-51e7-4a79-95da-f6068871011f,Câmera Canon,Fotografia,9000,11,2023-01-15 08:02:00,99000
3f64c22b-b4b8-4d13-bc5e-8af9e2c3c636,Fone de Ouvido JBL,Áudio,400,1,2023-06-08 10:37:00,400
07b7d81f-cd78-44b9-b82b-fb6fd952d4ab,Teclado Mecânico Razer,Acessórios,700,11,2023-07-23 14:11:00,7700
90db0062-64da-4301-bca2-f9e5ee4851d7,Câmera Canon,Fotografia,9000,14,2023-07-21 09:42:00,126000
da7c35e7-eb43-40d4-ade8-d9f86f443948,MacBook Air,Laptops,12000,2,2023-07-26 13:34:00,24000
db0aa973-91b2-4ca2-9286-574970f5f728,Fone de Ouvido JBL,Áudio,400,16,2023-09-26 15:01:00,6400
0389e497-0817-4bad-8a78-716740dcc0cd,Notebook Dell,Laptops,5000,5,2023-07-29 17:59:00,25000
831fb3df-bb49-42e9-9966-97cfc7aeb286,Samsung Galaxy S23,Smartphones,4000,17,2023-06-29 09:48:00,68000
0a6db66d-f00a-4605-994b-56fb02fe0aaa,Mouse Razer,Acessórios,500,9,2023-12-29 13:45:00,4500
6d29251a-96e2-446b-954f-cf2e41875388,Caixa de Som JBL,Áudio,2000,5,2023-04-06 08:07:00,10000
a08f494b-ba09-452a-a000-604517bffb5f,Mouse Razer,Acessórios,500,3,2023-12-14 15:58:00,1500
e88ddc07-c32b-451c-aa1d-2974bf633a3b,Smart TV LG 4K 55'',Eletrônicos,3000,20,2023-02-05 13:18:00,60000
a83c0f90-5e74-4cb9-826b-7cf3edce3833,Mouse Razer,Acessórios,500,12,2023-10-01 16:46:00,6000
51985e50-9798-407f-a12e-0d60ff2243da,Câmera Sony,Fotografia,7000,2,2023-06-13 19:40:00,14000
a5dede95-9e78-4ed7-b337-701c6690a406,Caixa de Som JBL,Áudio,2000,20,2023-07-27 11:16:00,40000
3148cc7c-77a3-4484-92bb-f7a2061959ed,Câmera Canon,Fotografia,9000,19,2023-10-24 12:24:00,171000
c1650895-f5ba-41f7-bc1a-cade355bc8dd,Câmera Canon,Fotografia,9000,8,2023-09-05 09:05:00,72000
39121200-b1cf-4b9e-9afc-63ea9cf0680e,Câmera Sony,Fotografia,7000,15,2023-03-23 19:21:00,105000
4d9f60b7-6171-46fa-ad2a-9a7fc41853b0,Smart TV LG 4K 55'',Eletrônicos,3000,3,2023-07-28 12:21:00,9000
662d13c4-a6d0-4fb6-9f28-20a6cf9fa936,Notebook Dell,Laptops,5000,13,2023-07-10 13:16:00,65000
12de5b5c-30a2-4ebe-993c-5ff17c08fab2,Samsung Galaxy S23,Smartphones,4000,6,2023-08-01 19:32:00,24000
000f59ce-d40a-4d0b-8aaf-55c5172e0ee9,Notebook Dell,Laptops,5000,13,2023-04-10 12:09:00,65000
b0084163-c66a-4451-b960-3b813001481c,iPhone 14 Pro,Smartphones,8000,9,2023-01-05 15:45:00,72000
03ead248-3377-4fa5-a9f0-d7838798e6ec,iPhone 14 Pro,Smartphones,8000,7,2023-02-01 12:10:00,56000
62850c85-9c78-4d70-963d-75a5257f85e5,Câmera Sony,Fotografia,7000,19,2023-09-13 14:48:00,133000
2271f001-7fb7-4732-887c-7a856cc68402,Fone de Ouvido JBL,Áudio,400,4,2023-09-25 09:56:00,1600
40cb3914-aab1-4d0d-a631-6f12744a3f93,Notebook Dell,Laptops,5000,16,2023-09-05 13:53:00,80000
a3bfc690-ba7b-430f-b7b1-25cb17ac95c1,Notebook Dell,Laptops,5000,15,2023-12-23 16:45:00,75000
db6e2bf4-e6d3-43cc-87c6-f92d4a3a9738,iPhone 14 Pro,Smartphones,8000,4,2023-01-08 17:05:00,32000
4475c9a8-eff0-4544-a453-547cab2b8ffa,MacBook Air,Laptops,12000,18,2023-08-25 19:16:00,216000
828f82c1-4daa-4607-a537-9997b6b38910,MacBook Air,Laptops,12000,17,2023-05-22 19:08:00,204000
224424d7-2790-447e-a377-96ac5b1c7721,iPhone 14 Pro,Smartphones,8000,20,2023-09-19 17:28:00,160000
d0b9257a-9438-4bca-bda3-3805cccd1136,Samsung Galaxy S23,Smartphones,4000,14,2023-10-05 12:05:00,56000
7814e057-cc1d-46c3-ac3c-ef5db6fb5412,Smart TV LG 4K 55'',Eletrônicos,3000,20,2023-04-08 12:04:00,60000
26d3b437-0dbe-4914-a583-d38ca475cb15,Notebook Dell,Laptops,5000,1,2023-11-10 16:33:00,5000
d73c9796-8d98-41f1-b73f-2e22503f4158,Câmera Sony,Fotografia,7000,7,2023-02-26 15:57:00,49000
bf648775-f87f-4738-a717-eba034ed11b4,Smart TV LG 4K 55'',Eletrônicos,3000,17,2023-04-08 19:04:00,51000
d5cfc78f-1452-4147-9809-6c64d8c8cc4e,Câmera Canon,Fotografia,9000,4,2023-03-14 10:20:00,36000
bf261d81-0b51-45ce-9dea-7028c20592e8,Caixa de Som JBL,Áudio,2000,20,2023-06-04 15:21:00,40000
1995d9e0-dd05-40ca-beec-7fe6f58638ce,Samsung Galaxy S23,Smartphones,4000,1,2023-03-20 16:34:00,4000
9a0a4ccb-c15d-4aa3-a11a-0333add163a6,iPhone 14 Pro,Smartphones,8000,6,2023-07-09 08:08:00,48000
bc6fa9c7-7694-4716-a579-9971e5357632,Smart TV LG 4K 55'',Eletrônicos,3000,20,2023-08-23 10:38:00,60000
f0f44b8d-037e-4228-8e7d-ee82aebbae5e,MacBook Air,Laptops,12000,7,2023-08-04 16:55:00,84000
184e8eb1-fce2-4199-a770-97a7804604d2,Samsung Galaxy S23,Smartphones,4000,18,2023-02-10 11:02:00,72000
4ae28a16-88c6-47f1-bacb-510c361f813e,Teclado Mecânico Razer,Acessórios,700,1,2023-06-16 11:11:00,700
ff3611c6-88df-4980-9986-3c8947d74037,Mouse Razer,Acessórios,500,8,2023-07-06 15:55:00,4000
70bc170d-94ff-42b6-849f-93d155fca501,MacBook Air,Laptops,12000,20,2023-12-16 17:11:00,240000
4b67f59d-8149-4d58-922e-4546fa2b2760,Samsung Galaxy S23,Smartphones,4000,14,2023-03-29 14:34:00,56000
f057a37d-5219-4296-9661-1158da40e375,Fone de Ouvido JBL,Áudio,400,17,2023-04-12 12:59:00,6800
e3e0a34e-8a06-4d47-ac64-6ac97d05fc5c,Smart TV LG 4K 55'',Eletrônicos,3000,12,2023-11-22 16:09:00,36000
d7c6bcba-1348-4224-a2f1-3bb755091990,Mouse Razer,Acessórios,500,6,2023-02-14 12:46:00,3000
8bedb87f-6578-4d98-aa09-c9cd341bdf8b,MacBook Air,Laptops,12000,17,2023-01-28 13:33:00,204000
bd07ccad-78b8-4360-b45b-28a3d2b5cda0,MacBook Air,Laptops,12000,10,2023-11-18 13:55:00,120000
9176e468-9d10-42e5-81be-76844b0ecc3b,Caixa de Som JBL,Áudio,2000,8,2023-06-20 12:57:00,16000
e4d4483d-3e74-4ffb-9904-95a9fbea924f,MacBook Air,Laptops,12000,20,2023-08-14 19:32:00,240000
7a91c515-ebba-40da-a9b7-924766be1c66,Câmera Canon,Fotografia,9000,18,2023-04-01 17:34:00,162000
334587fd-4b85-4efc-9cf5-cf8ff0fe5155,MacBook Air,Laptops,12000,10,2023-07-28 18:41:00,120000
47684616-48ad-40b8-93ac-9d6dffffe69e,Câmera Canon,Fotografia,9000,7,2023-04-03 12:44:00,63000
80e9a571-8380-4343-b1a0-1e27039d93e1,Teclado Mecânico Razer,Acessórios,700,1,2023-01-18 16:16:00,700
5d7dfd79-7773-4493-a646-4e3f8d47f453,iPhone 14 Pro,Smartphones,8000,4,2023-11-20 13:15:00,32000
8b4a5e7e-d165-4b5e-be10-33752cfae07d,MacBook Air,Laptops,12000,6,2023-05-31 18:59:00,72000
9304fa1e-5b76-4791-9c03-658ac48312d1,Câmera Canon,Fotografia,9000,12,2023-09-07 17:25:00,108000
0162cd6a-cbab-42d5-bbc0-8c61f9eae3d5,Caixa de Som JBL,Áudio,2000,19,2023-05-19 12:08:00,38000
d54be621-8584-43d3-b147-511ee54c13b5,Caixa de Som JBL,Áudio,2000,5,2023-07-11 16:07:00,10000
d4644105-8aca-474f-9504-9e10b85ebe00,Smart TV LG 4K 55'',Eletrônicos,3000,17,2023-07-18 13:34:00,51000
ed55dd05-fa46-4607-b8e7-7bc2e38c82d7,Mouse Razer,Acessórios,500,15,2023-01-14 11:18:00,7500
c833e598-8ab3-4886-845a-6e1a1c9dab29,iPhone 14 Pro,Smartphones,8000,14,2023-11-04 13:42:00,112000
a45fc089-c9fe-4f6a-8088-9b7761d41024,iPhone 14 Pro,Smartphones,8000,12,2023-12-19 17:33:00,96000
28cb20a1-b732-4fe4-8eaa-4e5b443b1c5b,Notebook Dell,Laptops,5000,2,2023-02-22 11:04:00,10000
ff6cecec-a969-442d-acdc-f7d95a7fe897,Smart TV LG 4K 55'',Eletrônicos,3000,19,2023-07-31 17:31:00,57000
3976d336-cfe1-4587-87de-0444818a9e5c,iPhone 14 Pro,Smartphones,8000,19,2023-11-26 19:21:00,152000
e527dd9a-7038-4bd1-b064-33c7d81dd88a,Teclado Mecânico Razer,Acessórios,700,7,2023-04-18 18:48:00,4900
85b53c58-14b0-4169-92ec-dff32fa2c816,Samsung Galaxy S23,Smartphones,4000,18,2023-02-01 11:56:00,72000
40ea7506-f485-4dc2-bde3-3785e046ffff,Notebook Dell,Laptops,5000,15,2023-08-05 16:42:00,75000
4ac75151-7910-4065-af01-08d5e3bcdd9a,Samsung Galaxy S23,Smartphones,4000,18,2023-08-26 16:14:00,72000
9f51c49f-49b0-4d43-a2df-7e25e0eb8f70,Caixa de Som JBL,Áudio,2000,16,2023-06-14 18:47:00,32000
9f9aaa41-e248-495a-9519-4015e8f3c433,Mouse Razer,Acessórios,500,6,2023-02-23 08:24:00,3000
dc9f1434-a6c6-49a6-8cb8-97bcd81dd681,Câmera Sony,Fotografia,7000,2,2023-11-08 12:48:00,14000
4452428d-84cb-4055-8ae8-876a4c7a50c7,iPhone 14 Pro,Smartphones,8000,6,2023-09-02 08:54:00,48000
2091e674-9312-4450-a7be-ce91f7a89dd4,Samsung Galaxy S23,Smartphones,4000,8,2023-08-17 18:06:00,32000
73407128-2a61-47cd-b12d-a9ff24b5b22f,Caixa de Som JBL,Áudio,2000,11,2023-02-03 10:31:00,22000
019d52c7-1c6b-41e3-8fd0-6aeb060f12f3,Notebook Dell,Laptops,5000,3,2023-06-20 13:52:00,15000
78d8114b-5a70-4db4-8b92-7547db2cdda7,MacBook Air,Laptops,12000,12,2023-01-01 14:10:00,144000
23d41c0d-4249-4005-8d5d-ff066442426a,Teclado Mecânico Razer,Acessórios,700,20,2023-07-07 15:03:00,14000
cf22e82c-17ab-41a8-9a44-2679f125884f,iPhone 14 Pro,Smartphones,8000,12,2023-01-13 08:06:00,96000
5b7ef621-97b7-4765-be1e-e7980b6d45c6,Smart TV LG 4K 55'',Eletrônicos,3000,20,2023-10-11 15:26:00,60000
a5cbf184-df08-468b-a481-63a92405aae9,iPhone 14 Pro,Smartphones,8000,4,2023-03-23 19:05:00,32000
7127d875-eca5-4ee3-bc51-cd2eab8a4f0d,Câmera Sony,Fotografia,7000,12,2023-12-23 18:35:00,84000
67544cd9-d38e-4ee6-a79e-b9c919c151f7,Samsung Galaxy S23,Smartphones,4000,6,2023-04-04 14:30:00,24000
