ID,Produto,Categoria,Preço,Quantidade,Data
04428ba6-96f8-48b9-8398-d2b0e420706f,Câmera Canon,Fotografia,8622,9,24/03/2023
f4d96298-7ab7-4579-b3b2-bba9c075fcd6,Câmera Sony,Fotografia,6268,6,09/12/2023
b846651e-66a8-469f-af12-9c45a948229a,iPhone 14 Pro,Smartphones,7627,19,24/06/2023
8d795dc1-f59a-4acc-9cf6-4779fe87d11e,MacBook Air,Laptops,10633,17,19/10/2023
eeba4bed-9cfa-48ed-819d-175709dee5e4,Caixa de Som JBL,Áudio,1653,14,17/09/2023
d3dd1ba2-aff4-472c-9481-8d6775ac42d3,Samsung Galaxy S23,Smartphones,4115,4,28/12/2023
b52b65c6-2403-4a31-8b8c-faca5b5d5ab1,Fone de Ouvido JBL,Áudio,373,7,08/05/2023
f6d8f54c-b897-47a5-af9c-613269bbfc64,MacBook Air,Laptops,11667,13,30/12/2023
c4d7abf2-5fc8-4390-83a5-40d75267b5ce,Câmera Sony,Fotografia,6586,1,30/11/2023
5c356c30-085b-4437-80df-cca0ed8718c3,Caixa de Som JBL,Áudio,1580,18,10/10/2023
c494f622-6eab-4e57-97f2-e671f5e12594,Fone de Ouvido JBL,Áudio,383,6,23/07/2023
c704befe-0ff2-4e8f-b938-72b06d465e8d,Fone de Ouvido JBL,Áudio,368,2,01/07/2023
ef15f07c-9e22-46dd-b5b8-88da886328b5,Câmera Sony,Fotografia,6300,16,13/04/2023
cb7986e3-3e86-40ad-bad3-98cb132cd087,Mouse Razer,Acessórios,424,5,02/01/2023
8795f153-0806-486f-9758-df001abde58f,Notebook Dell,Laptops,4237,5,07/11/2023
cb238869-b033-408e-bc25-ef3fa95beac3,Caixa de Som JBL,Áudio,1703,13,04/10/2023
0bbf2694-1f4c-408b-84f5-f0e1c84b2eab,Samsung Galaxy S23,Smartphones,4102,10,15/04/2023
bef34fbd-10ca-4118-a469-5209837189ed,Câmera Canon,Fotografia,8698,15,29/09/2023
aae6f4bb-56a1-495b-9cc6-4d77b5d908d6,Notebook Dell,Laptops,4146,4,10/04/2023
2c7ddb29-acd4-49f9-af3a-224241de6e54,Teclado Mecânico Razer,Acessórios,627,17,20/09/2023
09fc2f6a-fbba-4207-9a80-34615e5177d0,Samsung Galaxy S23,Smartphones,4469,19,06/03/2023
dd30a0a2-0255-451f-a33b-bc5a835a24a1,Teclado Mecânico Razer,Acessórios,507,10,16/02/2023
0a1bd82c-a1e8-4840-9d17-6bfdaa4027e1,Câmera Canon,Fotografia,8542,1,12/12/2023
63072305-f63c-4e22-8014-3105f5116749,Caixa de Som JBL,Áudio,1564,6,13/02/2023
aa2f3bf9-d97b-4a79-8d66-5c526e74d5e3,Câmera Canon,Fotografia,8463,10,03/09/2023
07fb488e-19b8-47d0-a0c0-2c1921d130b5,Câmera Sony,Fotografia,6661,7,09/02/2023
a5072d0b-eef2-4724-8828-06ede6ed0aeb,Teclado Mecânico Razer,Acessórios,606,11,26/10/2023
204875d5-3390-4994-a8b3-d7e43b35c7df,Caixa de Som JBL,Áudio,1643,3,29/12/2023
3b4d370f-533e-4b06-8003-15c25e9c75ad,Câmera Canon,Fotografia,8761,13,24/11/2023
0f2e615f-77d1-4750-843a-aeef0bdca5ce,Samsung Galaxy S23,Smartphones,4111,4,16/12/2023
f8ff2a9f-d407-4e48-adfa-0fd4fd3d87a3,Teclado Mecânico Razer,Acessórios,646,17,01/10/2023
c354f594-2578-4039-85c4-cc215e248bb3,Caixa de Som JBL,Áudio,1944,3,04/10/2023
1ebe623f-787d-4901-9fe0-c6c4db3657ed,Mouse Razer,Acessórios,447,17,29/07/2023
df1e9e47-f7d7-44eb-b769-06a15a264b31,MacBook Air,Laptops,10956,9,28/08/2023
f0d432dc-3cfc-477d-ad93-0479142d3820,MacBook Air,Laptops,10496,14,08/03/2023
e955ba62-bdc0-4f22-a8b4-b4b4a54a7453,Fone de Ouvido JBL,Áudio,400,13,11/02/2023
426c78bd-dd2b-407b-8a8a-e22c6a454ebb,Smart TV LG 4K 55'',Eletrônicos,2514,3,28/02/2023
28370db0-5378-4a00-b785-c725e08e746c,Mouse Razer,Acessórios,491,16,24/04/2023
7012c004-33ab-47bd-91a9-6cf34db1a575,Câmera Sony,Fotografia,6412,18,17/02/2023
5d7f9098-54d3-4bd7-84e2-f7af0e758da2,Mouse Razer,Acessórios,411,6,07/11/2023
5ab7255e-5835-48c9-9435-df8f913cff60,MacBook Air,Laptops,11420,15,01/06/2023
c47add72-3650-4ff5-a735-35728087a084,Teclado Mecânico Razer,Acessórios,550,6,12/01/2023
b1f61b3e-6021-4f19-8138-2cc630c3fd36,Mouse Razer,Acessórios,498,20,13/08/2023
95a1656c-7233-4329-bdd9-ea45f0ba68f8,Mouse Razer,Acessórios,427,19,25/07/2023
435ed728-2d78-47ed-b2ab-41d2145c57a8,Smart TV LG 4K 55'',Eletrônicos,2991,16,10/12/2023
fb24938a-2f3f-4550-afd1-dbc52d513eaa,Mouse Razer,Acessórios,499,20,14/12/2023
ab4b52b6-bb1c-49e8-ac85-d6facc3b7b64,Fone de Ouvido JBL,Áudio,330,6,25/06/2023
86e1b861-82f6-4b3c-8ccc-d8d3da487edc,MacBook Air,Laptops,11603,17,20/05/2023
41445fab-a3b0-48a3-8b65-a65c7d82097f,MacBook Air,Laptops,11507,17,21/11/2023
507db28b-bd9e-47d9-9f6b-ddc2a5a8794e,Teclado Mecânico Razer,Acessórios,643,16,04/09/2023
1c8530b0-d120-48a0-aca0-74c5c63c9c70,Caixa de Som JBL,Áudio,1539,8,23/07/2023
ec68310e-bce0-4f42-a093-cdffa433fa04,Câmera Canon,Fotografia,8294,17,12/05/2023
7b5bdf09-c2f8-4a41-9a40-f17ca8edb6a9,Fone de Ouvido JBL,Áudio,313,13,19/03/2023
64f382ef-6047-4a80-8321-32a50d1ac42f,Câmera Canon,Fotografia,8446,5,26/08/2023
a6259d5e-7a7b-4ad4-8c27-994a1664011b,Teclado Mecânico Razer,Acessórios,643,19,01/11/2023
0498caed-854a-417d-aeaa-3227cac6f2bf,Notebook Dell,Laptops,4579,3,06/10/2023
2decb649-b170-49af-b7b4-a616b5732062,Notebook Dell,Laptops,4872,4,27/04/2023
56654c9b-8cb2-4fe8-ab0a-e0db5414eba0,Notebook Dell,Laptops,4093,16,08/02/2023
2b9e2ac2-9948-4918-ad23-b3fb930d8f10,Câmera Canon,Fotografia,8218,9,01/03/2023
dfb99402-6726-4973-acb0-e4cd2ff93043,Fone de Ouvido JBL,Áudio,324,14,20/01/2023
c8066fd4-cb2e-4634-a069-236836e4820a,Teclado Mecânico Razer,Acessórios,580,1,12/04/2023
8e3de2d6-df52-4834-924b-1a5087b4d5d9,Fone de Ouvido JBL,Áudio,373,10,22/10/2023
24e166a4-7e42-45be-a352-db9dd69061c9,Câmera Canon,Fotografia,8491,16,06/03/2023
db8eb0dd-5c60-4a45-9881-04e39572792e,Câmera Canon,Fotografia,8125,20,30/06/2023
5867368d-4baf-4dfc-ae33-dba03e459c9e,Teclado Mecânico Razer,Acessórios,648,17,14/02/2023
b75ddf47-2972-426d-8320-c71c5d8f76a5,Teclado Mecânico Razer,Acessórios,695,17,02/03/2023
dcb57d73-6701-4233-9509-352c08174cde,Mouse Razer,Acessórios,456,7,08/10/2023
6aa653b9-e82b-40f2-9933-8bde9d1c1104,Caixa de Som JBL,Áudio,1592,20,27/11/2023
5af11506-b4a6-4a9e-8f2a-b502cc027ba3,Caixa de Som JBL,Áudio,1705,6,08/09/2023
7a7993aa-4295-4ab8-9aa2-ebe5117a25b5,Notebook Dell,Laptops,4741,8,12/06/2023
452ad9a1-7b1e-4484-9ef1-8c3c91f4a0bf,Câmera Canon,Fotografia,8203,3,14/04/2023
4e92045d-e688-4ad5-831e-744162ef41ae,MacBook Air,Laptops,10715,17,23/07/2023
1ba228d4-b7f3-409c-a68a-a044c8171aea,iPhone 14 Pro,Smartphones,7808,11,27/08/2023
db58982d-9dc7-4ef0-837d-f7340bb13359,Mouse Razer,Acessórios,444,1,08/11/2023
90894202-5476-4da3-8768-fbc21d728c94,Notebook Dell,Laptops,4184,3,20/09/2023
a1d887c9-8ed1-4a89-a0d7-4e2f11c68034,Fone de Ouvido JBL,Áudio,309,5,19/03/2023
1b87137a-9528-4a2d-bfb9-831afcf69cbb,Notebook Dell,Laptops,4156,2,23/09/2023
77e0c574-2e0a-429a-8a73-6cd6adf7dce0,Câmera Canon,Fotografia,8207,15,19/02/2023
5bfc4bdf-6dcb-45f7-a23f-d0cbf4397bcc,Smart TV LG 4K 55'',Eletrônicos,2681,19,17/10/2023
39246c9f-b3ba-4f4d-aaa7-b2ffbae784f7,MacBook Air,Laptops,10640,16,08/08/2023
f3434b35-98e5-4393-992b-a20e4ce5cd65,Câmera Canon,Fotografia,8772,13,14/10/2023
39d7d7f8-1677-4cbf-9a35-2cb529aa2e73,Notebook Dell,Laptops,4416,17,29/06/2023
37edacac-ac60-404d-a148-cc11835c8290,Mouse Razer,Acessórios,500,18,10/03/2023
8199a363-f04d-47c1-9aa3-3b2172bf87da,Caixa de Som JBL,Áudio,1551,16,27/05/2023
a5430c80-5e7f-4478-81ba-6289d003bdf4,Smart TV LG 4K 55'',Eletrônicos,2909,14,11/05/2023
a07cccfd-fb63-4842-8c6e-0e066a83b91a,iPhone 14 Pro,Smartphones,7940,7,11/10/2023
3a0b24ef-53e4-41e5-bdf6-e18822eb19a7,iPhone 14 Pro,Smartphones,7047,17,18/06/2023
3210b2fd-9241-4484-8fc9-6eb2f0d82dcd,Câmera Canon,Fotografia,8303,8,03/12/2023
6646c3d2-f561-4177-99f9-4da3d8ae7940,Câmera Sony,Fotografia,6712,9,03/08/2023
d0eeb459-cde0-4693-bf93-5e45fd3dbde4,iPhone 14 Pro,Smartphones,7261,17,05/07/2023
62c3734e-32ce-47b6-8fcf-90dea9c1c9b4,Câmera Sony,Fotografia,6059,8,09/11/2023
fb51f0f6-23b4-4e02-b5ff-8cb8ff01fe80,Mouse Razer,Acessórios,466,10,30/01/2023
299efe6e-ed8d-4161-bc76-e89905f4f633,Fone de Ouvido JBL,Áudio,329,12,27/04/2023
5fc01715-7cec-4a38-9f78-a6ede4b20ef7,iPhone 14 Pro,Smartphones,7387,16,24/04/2023
e5b55ab0-c0e1-4afe-bdd0-d69dd0f1ee5c,Câmera Sony,Fotografia,6667,1,16/11/2023
8d5bec58-c17e-484c-9b3e-36d0019e3e3d,Teclado Mecânico Razer,Acessórios,676,5,05/11/2023
bfaf3606-21b8-4d2a-bb12-a9a90a4cba79,MacBook Air,Laptops,10302,16,11/07/2023
8a1fec64-7dcf-4bd9-b045-4f18992d4143,Samsung Galaxy S23,Smartphones,4133,16,21/03/2023
5bb4773e-60cd-4dc7-a073-e28b39c4e83c,Notebook Dell,Laptops,4404,12,23/07/2023
59918ac9-752c-4162-bb1c-7a998a69f114,Câmera Sony,Fotografia,6623,12,27/04/2023
4a5ef4dc-0374-477f-87fd-96b0ecbb527f,Câmera Sony,Fotografia,6047,14,07/05/2023
a1b7d5e5-5f43-4791-b880-bd9e42cb76a8,Samsung Galaxy S23,Smartphones,4185,2,18/05/2023
27178e3c-c185-4446-9c49-217d514f3f22,Fone de Ouvido JBL,Áudio,383,13,29/09/2023
e376743b-7503-41b3-b9ea-55267ca888ce,iPhone 14 Pro,Smartphones,7861,5,21/07/2023
a7b023b1-1b1b-4e0d-b19e-7808a3ac5a53,MacBook Air,Laptops,11813,19,25/09/2023
21e3f5a5-e48f-4006-96d8-34d99b48adcc,MacBook Air,Laptops,11255,11,28/08/2023
4c8eb4d1-216b-48c5-be7a-d793a2287fa1,MacBook Air,Laptops,11374,7,15/05/2023
4680b01f-8fe7-4c18-b93e-016a9fd0072e,iPhone 14 Pro,Smartphones,7205,6,14/12/2023
f782f12b-c62c-4dfc-b43c-2fc58ffeaee1,Mouse Razer,Acessórios,458,17,03/09/2023
6a695c5b-7de4-465a-bfc7-ae5e12a0bd76,Samsung Galaxy S23,Smartphones,4077,16,22/11/2023
1a0c6e87-f168-458b-87b3-0ba7647179af,Câmera Sony,Fotografia,6691,13,08/04/2023
ead77a8a-3400-4687-8416-7a068ef456f9,Smart TV LG 4K 55'',Eletrônicos,2517,14,06/06/2023
a49cc1de-09d9-4880-9700-c23df89d5f3f,Fone de Ouvido JBL,Áudio,329,4,19/03/2023
1f007feb-c9a1-47c7-9f22-cde19689bc40,Caixa de Som JBL,Áudio,1687,7,16/01/2023
1cb4b136-8a87-4658-a235-751f66afca5d,iPhone 14 Pro,Smartphones,7336,14,04/12/2023
3885259c-eda4-4750-96ee-b8ba8a9323c0,Teclado Mecânico Razer,Acessórios,677,10,06/03/2023
073e4802-d1db-43ca-a2d3-3cd106c1c19f,MacBook Air,Laptops,11172,12,27/06/2023
4a9542ee-c3ba-45ef-b79e-488fbc2d7c06,Notebook Dell,Laptops,4359,17,21/09/2023
6ed8a175-7496-4140-a23f-8d568736c0ed,Smart TV LG 4K 55'',Eletrônicos,2662,17,23/07/2023
9bd25a9d-d88e-4635-b0c3-c3babaf683ad,Smart TV LG 4K 55'',Eletrônicos,2562,3,19/08/2023
3637cd6a-31b5-43e5-985f-5dbe2fb34615,Samsung Galaxy S23,Smartphones,4221,2,28/06/2023
1ee35098-1115-43df-96f0-4deb660afcf6,Teclado Mecânico Razer,Acessórios,540,8,16/07/2023
de16bfd3-6d68-4628-8aea-910c35b32efb,iPhone 14 Pro,Smartphones,7859,17,08/09/2023
4eb0ddd4-fac1-4eff-a27b-dddd64981024,Caixa de Som JBL,Áudio,1916,15,08/02/2023
a4303591-818c-4b26-ba35-aeb34b1bb284,Mouse Razer,Acessórios,497,6,11/05/2023
4297cf2c-b58d-4954-8548-58347ea2207b,Câmera Sony,Fotografia,6166,5,02/10/2023
057d159b-6b61-42db-bf18-7de7ad1875bf,Smart TV LG 4K 55'',Eletrônicos,2926,13,04/01/2023
6a148716-b6fe-4c99-bc6a-2c12083d23c9,Samsung Galaxy S23,Smartphones,4347,7,14/10/2023
db4b63d6-be00-4159-9d1e-009af0ac9227,Fone de Ouvido JBL,Áudio,380,12,11/03/2023
29497910-2273-4045-a2f2-d6ef3875abc7,Mouse Razer,Acessórios,400,17,27/06/2023
76f62c2c-4c64-4723-a3a2-87b6528fc299,Câmera Canon,Fotografia,8981,8,12/02/2023
19105775-2638-47e0-96bd-76608f21c9cf,MacBook Air,Laptops,11171,11,29/05/2023
54666f39-7b63-4309-8669-c0f3f14a3849,Teclado Mecânico Razer,Acessórios,566,9,13/12/2023
d5dd4f94-4a30-4c70-9c6e-6737400b3c9f,iPhone 14 Pro,Smartphones,7160,4,08/12/2023
3b0a85be-b6d9-4cb0-901e-56083a8c4779,MacBook Air,Laptops,11436,9,28/03/2023
46268c3e-2918-4260-9edb-e816d2840d44,Notebook Dell,Laptops,4188,9,30/05/2023
d24ef337-9c90-4318-aa9b-7e542cf27a00,Câmera Sony,Fotografia,6614,3,21/11/2023
521bf3c7-5db4-4e6a-aeb8-8cd434a360b9,iPhone 14 Pro,Smartphones,7825,2,09/03/2023
5958a33f-3587-4b60-8878-b9a5017e7eab,Câmera Canon,Fotografia,8951,7,07/08/2023
73625a39-88ee-4723-b1f5-51cc3fd91011,Smart TV LG 4K 55'',Eletrônicos,2763,3,25/09/2023
d1420dbd-038d-46df-9950-fb3bea91f071,Smart TV LG 4K 55'',Eletrônicos,2945,17,29/11/2023
526d0bc3-6456-4995-bcc7-391780d328d3,Teclado Mecânico Razer,Acessórios,510,16,23/03/2023
dc27e459-911e-4758-8059-e087b2ca6e09,Notebook Dell,Laptops,4119,5,22/11/2023
29c78741-2942-47f7-ab07-b9f698410d93,iPhone 14 Pro,Smartphones,7451,4,02/09/2023
8369a340-24be-4ad8-b00b-081172d8f1d0,iPhone 14 Pro,Smartphones,7328,12,08/01/2023
33e41ffb-501d-4b63-ad32-3134d541efca,Câmera Sony,Fotografia,6629,11,10/06/2023
698bc768-374c-44fb-b681-82ff7b6cc9a8,MacBook Air,Laptops,10039,4,14/03/2023
65114698-cfaa-4185-8ffb-6c140a2e8342,Samsung Galaxy S23,Smartphones,4034,13,27/06/2023
b1f81390-e901-4ecf-bcbc-8a84f88e3dcf,Fone de Ouvido JBL,Áudio,340,5,02/09/2023
4bc74cd8-c549-48b9-8228-59fe21f9caa3,Câmera Sony,Fotografia,6113,2,25/01/2023
a8a785b6-9c3c-4f45-9ac2-ccdf54288658,iPhone 14 Pro,Smartphones,7812,4,26/08/2023
27bce24a-f40d-4efb-84ac-6ec5b095abae,Câmera Canon,Fotografia,8116,11,23/06/2023
92a0cec7-378a-4f93-aeb5-0236ade4c881,Fone de Ouvido JBL,Áudio,348,10,05/06/2023
e869c6b8-dbc4-4e74-b38f-3d0dfc105657,Teclado Mecânico Razer,Acessórios,600,16,07/09/2023
4a684e66-21e8-4d11-abd3-c828162a3d0e,MacBook Air,Laptops,10106,6,22/02/2023
1cd545c4-e629-499c-852b-53ee3e01b4c0,Notebook Dell,Laptops,4972,7,23/07/2023
36b9d888-bf17-4da9-9a7a-2ae3bddec171,iPhone 14 Pro,Smartphones,7334,15,15/01/2023
8a06f831-4915-48db-9de7-a04cb02ce974,Fone de Ouvido JBL,Áudio,338,15,16/11/2023
5e0f7d2d-e8dd-461f-9dd7-28349d6b8054,Smart TV LG 4K 55'',Eletrônicos,2588,16,07/01/2023
37e70be6-5e94-4f36-a812-495f1baee18e,Mouse Razer,Acessórios,438,9,07/10/2023
7f33529d-2b73-4644-aabc-384c683d5c86,Câmera Sony,Fotografia,6699,20,30/12/2023
116a35a5-7cf9-437b-a180-322502838912,iPhone 14 Pro,Smartphones,7376,1,19/12/2023
75eb940f-69ea-4eed-a6b9-a15bae870110,Fone de Ouvido JBL,Áudio,377,13,12/01/2023
c69b26a2-b31e-48c7-aaee-7fe87455ddf9,Samsung Galaxy S23,Smartphones,4376,14,30/09/2023
9902d9bc-8aca-450c-980c-e2e72ab429b0,Teclado Mecânico Razer,Acessórios,659,14,21/03/2023
e7d21202-136b-4336-9cb9-c6ac586b83b0,Câmera Canon,Fotografia,8516,12,07/10/2023
8530d4db-881c-419e-8723-05ac06ce5aaf,Caixa de Som JBL,Áudio,1606,5,12/12/2023
bb9a6d78-bc58-43c7-8a83-21cae8b5925b,Notebook Dell,Laptops,4202,13,18/11/2023
84c4f9c5-e6af-4e71-9c82-e7145835bd74,Smart TV LG 4K 55'',Eletrônicos,2639,2,10/03/2023
7babba48-e2f9-4a53-bd38-2d2db4a204f8,Teclado Mecânico Razer,Acessórios,597,7,09/03/2023
0b522fd2-2d36-4ab9-abf1-1d86b5d2272d,Notebook Dell,Laptops,4987,9,25/09/2023
dcb052a2-876a-4546-8917-30cdb18b5621,Mouse Razer,Acessórios,492,9,28/03/2023
f573916a-0db3-4d04-8191-4090230d43ca,Samsung Galaxy S23,Smartphones,4217,5,01/08/2023
2febd57d-d52a-43e6-b97f-c55710d0eb65,MacBook Air,Laptops,11304,13,30/09/2023
baf18da2-f73b-4e78-ba31-2ae4aec50e4a,Notebook Dell,Laptops,4806,2,28/12/2023
06f19fea-68d0-4f97-8721-8e7d5fd1438f,Smart TV LG 4K 55'',Eletrônicos,2576,1,15/12/2023
d6470e10-5f6d-49b8-b4fd-727d3377cec0,Teclado Mecânico Razer,Acessórios,542,8,17/08/2023
f967dbb2-0ceb-448d-b974-f836c6b78845,Samsung Galaxy S23,Smartphones,4448,5,20/10/2023
b09405bd-7c89-4015-8afd-f14026e43846,Teclado Mecânico Razer,Acessórios,560,13,09/11/2023
dcd2cce3-34c8-47cb-a346-f37c78038548,Fone de Ouvido JBL,Áudio,332,7,25/09/2023
14f2946a-5fbe-46d8-91ed-d4a16883385c,Câmera Canon,Fotografia,8036,11,02/07/2023
07746c2b-e2bb-424c-8e8f-df88cb146ab5,Notebook Dell,Laptops,4153,16,02/07/2023
4944f91a-6657-4762-a692-8ffee6f65fd2,MacBook Air,Laptops,10983,15,26/12/2023
4d14b16a-2ea6-4531-ac5d-9766abbaaf52,Teclado Mecânico Razer,Acessórios,567,9,14/04/2023
25b9b76b-a711-4636-9a73-4da1a53462b9,Câmera Canon,Fotografia,8725,12,16/07/2023
f391b459-b792-407e-8d9c-8eaabd08d55c,Câmera Canon,Fotografia,8924,20,15/05/2023
2edeaf88-f4e9-4b8e-bdab-dbdfa7811748,Fone de Ouvido JBL,Áudio,364,5,04/09/2023
2365b04a-db0e-49c2-b1c3-f91a2cf05442,Teclado Mecânico Razer,Acessórios,558,5,03/07/2023
40dbfc47-5a39-47e9-a62e-fe89d2fbfb7b,Fone de Ouvido JBL,Áudio,351,9,02/01/2023
f78bab29-cbf5-4571-97ff-d74e21f867da,Smart TV LG 4K 55'',Eletrônicos,2631,8,11/03/2023
b2c2f092-a9e6-48a7-9041-ab6fac04cece,Fone de Ouvido JBL,Áudio,349,18,16/12/2023
c714d22b-2756-4976-bca9-8544867b61f9,Samsung Galaxy S23,Smartphones,4451,18,01/01/2023
fa8d4f26-3935-4908-8365-b96ec82016da,MacBook Air,Laptops,10360,12,21/05/2023
2e01b7d3-3fbd-4581-ba37-07a0ecb900e4,Samsung Galaxy S23,Smartphones,4462,13,29/08/2023
8dbb459b-6ddd-42e4-b6a5-8317d7f4cf48,Mouse Razer,Acessórios,495,6,03/02/2023
7847b369-fd28-4713-9edd-f22e837462d4,Câmera Sony,Fotografia,6464,15,20/04/2023
da18a9d1-4c92-4871-8230-0d1e6ea2622f,MacBook Air,Laptops,10565,20,12/12/2023
30aedc05-fb79-42f4-835b-c0414c7d4d21,Samsung Galaxy S23,Smartphones,4293,16,21/07/2023
8dbf933d-6dc3-4728-b70f-0bfad5bca362,Teclado Mecânico Razer,Acessórios,640,5,14/12/2023
4d4de97d-3e9f-4337-ba27-b3441781160d,Notebook Dell,Laptops,4925,7,12/07/2023
30bb6f18-83a3-425a-a1cc-c2eb5319d774,MacBook Air,Laptops,10678,2,02/03/2023
a200b50c-cf37-4d53-816c-be3515e9ef76,Caixa de Som JBL,Áudio,1977,14,19/07/2023
